I Was Only Joking,Rod Stewart,6:07
Hero,Mariah Carey,4:20
Anyone Of Us (Stupid Mistake),Gareth Gates,3:51
Stephanie Says,Lady & Bird,3:06
Miss You,coldrain,3:58
Love Will Keep Us Alive,Eagles,4:06
Kiss Me,Tom Waits,9:49
Safe And Sound,Azure Ray,3:03
The Unforgiven,Metallica,6:29
So Bad,Eminem,14:27
Polythene Queen,miss li,3:34
A Different Kind Of Pain (Album Version),Cold,5:20
Take This Heart Of Mine,Marvin Gaye,2:47
Say Goodbye,Katharine Mcphee,3:49
The One You Love,Glenn Frey,4:37
1234,Feist,3:03
A Century Ends,David Gray,5:08
Lonely Road,Everlast,3:18
Some Nights (Intro),Fun.,2:17
I Ain'T Goin' Out Like That,Cypress Hill,4:28
Jar Of Hearts,Christina Perri,11:01
Holiday In Spain,Counting Crows,3:50
It'S Amazing,Jem,3:58
Nothing Else Matters,Metallica,6:32
Satisfied,Ringo Starr,3:19
Paper Ships (feat. the Silverl,Dead Man¡äs Bones,2:56
You Belong To Me,Jason Wade,2:45
Doing Fine (Without You),Pixie Lott,3:10
Pocketful Of Sunshine,Natasha Bedingfield,3:26
Lonely Lullaby,Owl City,4:34
What Sarah Said (Album Version),Death Cab For Cutie,6:21
Bourgeois Shangri-La,miss li,2:48
Last Goodbye,Ke$ha,3:54
Dementia,Owl City,3:35
Do I Have To Cry For You,Nick Carter,3:38
Chapter Six,Kendrick Lamar,2:45
Thank You,Dido,3:43
7 Days,Craig David,3:59
The A Team,Ed Sheeran,4:19
Me And You,Ringo Starr,2:15
Master Of Puppets,Metallica,8:37
Proud Of You,·ëêØæ¥,3:07
Never Say Goodbye (Adapted From _Pavane_),Hayley Westenra,3:16
Good Day,Nappy Roots,3:43
Goodness Gracious,Ellie Goulding,3:47
Forget Her,Jeff Buckley,5:13
Lollipop,Mika,3:09
Wait A Minute,The Notorious Cherry Bombs,2:46
End Of The Line,Traveling Wilburys,3:27
In My Secret Life,Leonard Cohen,4:53
Making Memories Of Us,The Notorious Cherry Bombs,4:04
Whatever You Like (Single Version),Anya Marina,3:49
How Could I,Marc Anthony,4:30
Breakdown,Jack Johnson,3:32
Sick , Adelitas Way,3:11
Over The Rainbow _ What A Wonderful World,Israel Kamakawiwo'ole,4:55
Silent Night,Taylor Swift,3:32
Hero of the Soviet Union,The Dillinger Escape Plan,2:59
Lose You,Pete Yorn,4:38
Cups,Anna Kendrick,1:17
A Natural Disaster,Anathema,6:27
Junk Of The Heart (Happy),The Kooks,3:07
Handle This,SUM 41,3:38
Summer Sunshine (Album Version),The Corrs,2:55
A Little Love,·ëêØæ¥,3:12
I Believe In Love,Dixie Chicks,4:18
Like A Star,Corinne Bailey Rae,4:02
Wanna Be Close,Avant,3:47
Limp Bizkit,The Truth,5:27
Nothing But A Miracle,Diane Birch,4:26
My Place,Nelly,4:35
And Then You,Greg Laswell,3:32
I'M Back,Eminem,5:12
Screaming For Vengeance , Judas Priest,4:43
All Messed Up,Sum 41,2:44
Wargasm , L7,2:46
Kiss,Korn,4:10
Hurt,Christina Aguilera,4:06
Happy,Pharrell Williams,3:54
Dying In The Sun,The Cranberries,3:31
My Derailment,Adelitas Way,3:37
Paper Aeroplane,KT Tunstall,3:19
Whiskey Lullaby,Alison Krauss&Brad Paisley,4:20
Twilight Innocence,Novembers Doom,5:59
Sowing Season,Brand New,4:33
A Place Nearby,Lene Marlin,4:12
Flat On The Floor,Nickelback,2:05
I Cry,Westlife,4:14
Manhattan,Sara Bareilles,4:39
Use Your Fist And Not Your Mouth,Marilyn Manson,3:42
Be Alright,Justin Bieber,3:11
Who The Fuck_,Pj Harvey,2:06
Lose Yourself,Eminem,5:30
Godspeed (Sweet Dreams),Dixie Chicks,4:47
Parachute,Sean Lennon,3:21
Amazing Grace,Olivia Ong,4:11
My Life Would Suck Without You,Kelly Clarkson,3:35
Shitlist , L7,2:59
Marching Bands Of Manhattan,Death Cab For Cutie,4:13
Me vs. maradona vs. elvis,Brand New,5:19
Beauty In The World,Macy Gray,3:50
When I Go,Slow Club,3:06
Everything At Once,Lenka,2:40
Even Heaven Cries,Monrose,4:00
03.45 _ No Sleep,The Cardigans,3:48
Marry You,Bruno Mars,3:49
Hide And Seek,Dannii Minogue,3:10
Kiss Me Slowly,Parachute,3:57
Hey Man (Now You'Re Really Living),Eels,3:01
Roll To Me,Del Amitri,2:12
Want,Natalie Imbruglia,4:17
The Long And Winding Road,Paul McCartney,3:48
How To Fight  Loneliness,Wilco,3:52
Eyeless [Explicit],Slipknot,4:00
Break Stuff,Limp Bizkit,2:48
Cute,David Steinberg,3:49
Don't Leave Me (Ne Me Quitte Pas),regina spektor,3:40
This New Heartache,Vince Gill,3:35
What a Wonderful World,Stacey Kent,4:31
The Parting Glass,The High Kings,4:13
Only,Nine Inch Nails,11:41
Pink Rabbits,The National,4:42
Even Now,William Fitzsimmons,2:56
The Chosen Pessimist,In Flames,8:13
Just Hold Me,Maria Mena,4:27
I Feel It All,Feist,3:39
Better Together,Jack Johnson,3:27
Always Getting Over You,Angela Ammons,4:13
Surviving The Times , Nas,4:43
Don'T Stop Me Now,Queen,3:32
Reason to Believe,Sum 41,2:36
Cold As You,Taylor Swift,4:02
Let It Go,Demi Lovato,3:47
Something Good Can Work,Two Door Cinema Club,3:13
Cartoon Heroes,Aqua,3:49
Jailcell Mind,Hayley Sales,3:55
Temptation,Moby,4:58
Light Up the Sky,The Afters,3:37
Blue Velvet,Lana Del Rey,2:39
You Give Me Something,James Morrison,3:33
Again And Again,Jewel,4:01
I Need Some Sleep,Eels,1:37
Sunshine,Matt Costa,2:35
Mobile,Avril Lavigne,3:34
Please,Tristan Prettyman,3:13
Ldn,Lily Allen,3:15
Send It Up,King Louie&Kanye West,3:01
'Till I Collapse,Eminem,4:59
Vanilla Twilight,Owl City,3:54
Shattered,trading yesterday,4:55
Tyler the creator,yonkers,4:09
Flying,Anathema,5:58
Stutter,Maroon 5,8:46
Look On Down From The Bridge,Mazzy Star,4:47
Hello,Tristan Prettyman,3:27
Time for You to Go,Sum 41,3:02
Forever Friends,·ëêØæ¥,3:06
Return to me,october project,4:18
Sum 41,skumfuk,3:24
Funny Little Frog,belle and sebastian,3:08
Skipalong,Lenka,3:56
Choose Love,Ringo Starr,3:08
Fall For Your Type,Jamie Foxx,3:56
Billy Brown,MIKA,3:19
Goodbye my lover,James blunt,4:13
St. Anger,Metallica,7:21
In My Secret Life,Leonard Cohen,3:53
Awaken,Disturbed,4:29
Get Lucky,dragonette,3:06
The Crime At Edmond Lake,Tamas Wells,3:20
Who Knew , Eminem,3:50
Catholic Pagans,surfer blood,3:13
Fascination,Alphabeat,3:06
How To Save A Life,The Fray,4:22
Liberate , Disturbed,3:31
Hurt,Johnny Cash,3:38
1234,Feist,8:09
Goodbye,Sophie Zelmani,3:24
The Channel , Limp Bizkit,4:38
When You Wish Upon A Star,Rosemary Clooney,3:10
Seven Years,Norah Jones,2:27
Sermon,Drowning Pool,4:19
So Much Love,the rocket summer,3:57
End Of May,Keren Ann,3:33
Hardly Wait,Pj Harvey,2:49
California Dreaming,North,2:42
Modern Nature,Sondre Lerche,3:40
Living In The Moment,Jason Mraz,3:59
Playing Your Song,Hole,3:23
Pick Up the Phone,Falling In Reverse,4:39
Breathe,Telepopmusik,4:46
One Time,Justin Bieber,3:38
Carried Away,Passion Pit,3:44
Alone (2000 Digital Remaster),Heart,3:42
I'M Sorry That The Kitchen Is On Fire,Tamas Wells,3:09
The corrs,rain,4:15
Stranger,Noah And The Whale,5:20
The Day Before The Day,Dido,4:14
The Girl I Knew Somewhere,The Monkees,2:32
If I Had a Boat,James Vincent McMorrow,4:33
Love Song For 1,Corrinne May,4:49
Physical (You'Re So),Nine Inch Nails,5:31
I Need My Girl,The National,4:11
Shadow,Britney Spears,3:48
Inside,Bang Gang,5:42
Somebody That I Used To Know,Gotye,4:08
Electric Daydream,Viva Brother,3:49
Lost & Found,Lianne La Havas,4:29
Hey Soul Sister,Train,3:39
Evolution,Korn,3:38
Sugarcane,Missy Higgins,3:17
Living To Love You,Sarah Connor,11:30
Daydream Believer,The Monkees,7:48
Cage The Beast , Adelitas Way,3:17
Little Girl In The World,ÁÖ¶þãë,3:55
Wake Me Up Before You Go Go,Wham,3:51
Falling Up,John Hiatt,3:40
Bubbly,Colbie Caillat,3:42
Letting Go,Jo De La Rosa,3:31
Home,Michael Bubl¨¦,9:02
Saturday'S Child,The Monkees,2:41
One Mic , Nas,4:29
Pig,Sparklehorse,2:26
You Could Be Mine , Guns N' Roses,5:47
I Knew I Loved You,Savage Garden,4:14
Enter Sandman,Metallica,7:39
No Promises,Shayne Ward,3:44
Unwritten,Natasha Bedingfield,4:23
I Hate Everything About You,Three Days Grace,3:53
Preparing To Leave,Lunik,4:26
If I Were A Boy,Beyonce,4:13
Street Map,Athlete,4:41
Forever Young,Alphaville,3:46
The First Days Of Spring,Noah And The Whale,6:41
The Airway,Owl City,4:22
Shades Of Gray,The Monkees,3:19
Let It Rain,Olivia Ong,4:31
Love In December,Club 8,3:42
25 To Life,Eminem,10:44
Somewhat Damaged,Nine Inch Nails,4:31
Little Love Caster,Laura Marling,5:52
Otherside,Viva Brother,3:43
Nothing Compares,Pixie Lott,3:37
Shake Up Christmas 2011,Natasha Bedingfield,3:51
By Our Love,Christy Nockels,3:41
Behind These Hazel Eyes,Kelly Clarkson,3:17
Eminem,no afraid,4:08
Marry You,Bruno Mars,3:51
Shade Of Blue,Black Rebel Motorcycle Club,4:23
The Ketchup Song (Asereje),Cats Up,3:27
Civil War , Guns N' Roses,7:46
Fun.,All The Pretty Girls,3:23
I Am Hated (Album Version),Album Version,2:41
Never Grow Up,Taylor Swift,4:56
Eyepennies,Sparklehorse,5:30
The Saltwater Room,Owl City,4:06
Shape Of My Heart,Sting,4:38
Ever be,Korn,12:50
Summer Cannibals , Patti Smith,4:09
Stay The Same,Joey Mcintyre,3:47
Criminal,Eminem,5:21
Love Love Love (Album Version),Tristan Prettyman,3:28
Almost Lover (Album Version),A Fine Frenzy,4:34
Forgotten Hopes,Anathema,3:51
Hey Julie,Fountains of Wayne,2:37
Is There Somebody Who Can Watch You,The 1975,2:55
Nicest Thing,Kate Nash,4:07
Cry On My Shoulder,Bonnie Raitt,3:44
Cancer,My Chemical Romance,2:24
Follow You Down To The Red Oak Tree,James Vincent McMorrow,3:24
Haunted,Taylor Swift,4:08
Wise Up,Aimee Mann,3:29
Littlest Things,Lily Allen,3:06
Holiday Album Version, Green Day,0:00
Between Sheets,Imogen Heap,2:53
Burn In My Light,Mercy Drive,10:34
Skinnyman , Static-X,3:40
Crashed The Wedding,Busted,2:42
My Love,Lene Marlin,4:32
We're Going To Be Friends,The White Stripes,2:19
Marshall Mathers,Eminem,5:23
Alfie,Lily Allen,2:50
Seventeen,Keren Ann,2:26
The Sighting,A Fine Frenzy,5:02
Hands On The Radio,Chris Garneau,3:58
The Scientist,Coldplay,5:11
But For Now,Jamie Cullum,4:01
Love You So,Natalie,3:38
Loving You Tonight,Andrew Allen,3:01
Violet,Hole,3:27
Walking On Sunshine,Katrina And The Waves,3:56
Save Me From Myself,Christina Aguilera,3:16
Pleasant Valley Sunday,The Monkees,3:06
Mrs. T.,Good Lovelies,3:58
Angry Again , Megadeth,4:02
Thanks For Nothing,Sum 41,3:04
Summertrain,Greyson Chance,4:34
La Ballade Of Lady & Bird,Lady & Bird,4:43
Honestly,Jo De La Rosa,3:28
If This Was a Movie,Taylor Swift,3:58
Breeze,Sophie Zelmani,4:06
Remember The Day,Animal Alpha,2:46
All I Ever Wanted,The Airborne Toxic Event,5:12
Open,Rhye,3:36
Stacy's Mom,Fountains of Wayne,3:18
Eat You Alive , Limp Bizkit,3:57
Christmas Lights,Coldplay,4:06
Take It Off,Andrew W.K.,3:11
Blue Skies,Lady & Bird,4:15
Here Come The Tears,Judas Priest,4:36
Communication,The Cardigans,4:32
Underclass Hero,Sum 41,3:14
Gold,Owl City,4:00
Blood Roses , Tori Amos,5:22
Last Train To Clarksville,The Monkees,2:44
They,Jem,8:46
Breaking Your Own Heart,Kelly Clarkson,3:52
Haunted,Radical Face,5:23
Shelter,Birdy,9:36
Mine,Taylor Swift,3:55
The Key , Limp Bizkit,1:26
It'S Not Over (Death Or The Toy Piano),The Puppini Sisters,3:15
A Thousand Kisses Deep,Leonard Cohen,6:26
Dear Diary,Britney Spears,2:51
How,regina spektor,4:48
While My Guitar Gently Weeps,ÄªÎÄÎµ,12:52
Here Comes A Regular,The Replacements,4:51
When You'Re Gone,Avril Lavigne,4:04
The Blower'S Daughter,Damien Rice,4:52
Born To Die,Lana Del Rey,4:49
She Will Be Loved,Maroon 5,4:05
Grace,Laura Story,4:36
Beautiful Girls,Sean Kingston,3:45
?™Till I Collapse,Eminem feat. Nate Dogg,5:00
Sometimes I Feel So Lonely,Primal Scream,5:06
Unfold,The XX,3:07
King Of Anything,Sara Bareilles,3:29
The Worry List,Blue October,4:37
Rush,Talib Kweli,3:42
Year 3000,Jonas Brothers,8:58
1(If Youre Wondering If I Want You To) I Want You To,Weezer,3:29
Small Hours,John Martyn,23:16
Here Comes The Sun,The Beatles,3:09
No Tears,James Blunt,3:52
Aubrey (Lp Version),Bread,3:39
Speak Your Heart,Lizz Wright,3:45
Stan,Eminem,6:46
Shape Of My Heart,Backstreet Boys,3:51
All Nightmare Long , Metallica,7:57
With Teeth,Nine Inch Nails,5:37
Forget That Girl,The Monkees,2:30
A Public Affair,Jessica Simpson,3:21
Motorbreath , Metallica,3:22
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,3:47
Red,Taylor Swift,3:43
Backyard,Good Lovelies,3:58
A Thousand Miles,Vanessa Carlton,4:03
Seventeen,Keren Ann,2:26
Girl In Your Dreams,M2M,3:46
Dancing In The Moonlight,Toploader,3:53
Polly,Keren Ann,3:18
Killer On The Road,Oh Laura,3:54
Her Morning Elegance,Oren Lavie,3:38
Barbie Girl,Aqua,3:22
Defy You , The Offspring,3:48
I Don'T Want To Say Goodbye,Teddy Thompson,3:17
Sweet Amber,Metallica,5:27
Hear The Noise That Moves So Soft And Low,James Vincent McMorrow,4:03
Restless,Alison Krauss & Union Station,2:55
Please Sister,The Cardigans,4:40
Before You Die,Bad Religion,6:52
I'Ll Be Your Man,James Blunt,3:39
Hot Air Balloon,Owl City,9:28
Love Generation,Bob Sinclar,2:57
The Hill,Marketa Irglova,4:36
The Moment I Knew,Taylor Swift,12:45
My Name Is Trouble,Keren Ann,4:13
Jesus Christ Pose , Soundgarden,6:23
Erased,Annie Lennox,4:40
Melt The Snow,Shayne Ward,3:52
Foundations,Kate Nash,4:09
Wild World,Mr. Big,3:29
Only Ones Who Know,Arctic Monkeys,3:07
Great Divide,Hanson,4:00
Fat Lip,SUM 41,3:00
Limit To Your Love,Feist,11:36
Dying,Hole,3:45
Back To December,Taylor Swift,4:58
Favorite Song,Colbie Caillat,3:50
Half Life,Imogen Heap,4:02
Words,The Monkees,2:46
Cry For Help,Rick Astley,4:51
All Too Well,Taylor Swift,14:08
With Him,Babyface,4:47
A N I C,Sum 41,0:41
Pride,Manchester Orchestra,6:01
Caving In,Kimya Dawson,3:04
Smoke,Tristan Prettyman,3:45
Suicide Is Painless,Lady & Bird,2:59
Annihilation By The Hands Of God (Album Version) , Roadrunner United ,5:33
Treacherous,Taylor Swift,11:03
Because Trees Can Fly,Lampshade,4:33
Elizabeth On The Bathroom Floor,Eels,2:09
Glad You Came,The Wanted,3:18
Pancake,Tori Amos,5:57
We Exchanged Words,Azure Ray,2:49
Gone , Kelly Clarkson,3:28
The Love That Harms,John Hiatt,2:54
You Know What,Craig David,3:37
Last Christmas,Taylor Swift,3:28
Tonight I Wanna Cry,Keith Urban,4:19
Cold Water,Damien Rice,5:01
Down,Jason Walker&Molly Reed,4:09
Heaven,Beyonce,3:51
Something Told Me,Coal Chamber,3:22
Should'Ve Said No,Taylor Swift,4:06
Don'T Stop Movin',S Club 7,3:57
Life For Rent,Dido,3:45
Death To Birth,Michael Pitt,4:46
Here I Am,Leona Lewis,4:53
Second Hand,Bachman-Turner Overdrive,3:23
Man! I Feel Like A Woman!,Shania Twain,3:53
Untouchable,Taylor Swift,5:14
Just like heaven,Katie Melua,3:38
Maybe , Kelly Clarkson,4:27
Then Go [Live From Union Chapel],Damien Rice,5:50
Time Enough For Tears (Borrowed Heaven_Album Version),The Corrs,5:07
Party Til You Puke,Andrew W.K.,2:35
Look Out (Here Comes Tomorrow),The Monkees,2:12
Stay Away , Nirvana,3:35
More Like Her,Miranda Lambert,9:20
Misery,Maroon 5,9:36
Windmills Of Your Mind,Sting,4:19
Ballad Of Ira Hayes,Johnny Cash,2:53
Happy Xmas (War Is Over),The Moody Blues,2:38
Kill You,Eminem,4:27
The Day I Died,Just Jack,3:40
Never Know,Jack Johnson,3:32
To All The Girls,Aaron Carter,3:29
The Angry Mob , Kaiser Chiefs,4:45
Sunshine In The Rain,Bwo,3:34
Breaking The Law , Judas Priest,2:33
The Lazy Song,Bruno Mars,3:10
Amnesia,The Fabulous Thunderbirds,3:45
My gift of silence,Blackfield,4:05
Like Toy Soldiers ,Eminem,5:03
Blonde On Blonde,Nada Surf,4:37
Stupid,Toni Braxton,3:37
To The Country,Laura Veirs And Saltbreakers,5:09
Like A Song,Lenka,3:24
Everyday,Sausalito Foxtrot,1:42
Hallelujah,Rufus Wainwright,4:09
Beautiful Soul,Jesse Mccartney,3:19
Blood Red,Slayer,2:47
Much Farther To Go,Rosie Thomas,4:18
It Doesn't Have To Be Beautiful,Slow Club,3:44
Fireflies,Owl City,3:50
Sometimes,Britney Spears,4:10
Imagine me without you,Jaci Velasquez,4:10
5 Years Time,Noah And The Whale,3:36
The Veldt (Radio Edit),Deadmau5,2:52
Christmas In My Heart (Single Version),Sarah Connor,4:19
Don'T Let The Man Get You Down,Fatboy Slim,4:01
I M Still Breathing,Katy Perry,3:52
Scarborough Fair,Sarah Brightman,4:17
Creeping Death , Metallica,6:36
In The Morning,Club 8,2:42
Let Me Down,Kelly Clarkson,3:27
Dream,Priscilla Ahn,3:34
Free,Good Lovelies,2:57
American Idiot (Album Version) , Green Day,2:56
To Blossom Blue,Lake Of Tears,8:15
The Propaganda , Limp Bizkit,5:16
Songs Like This,Carrie Underwood,2:41
Falling In Love At A Coffee Shop,Landon Pigg,4:07
We Are Golden,MIKA,4:00
Here Without You,3 Doors Down,4:11
Endless Nameless,Nirvana,6:45
Sextape,Deftones,4:03
You,chris young,2:44
As Long As You Love Me,Backstreet Boys,3:45
Lonely Enough,Little Big Town,4:27
A Place Nearby,Lene Marlin,4:12
Lost Without You,Delta Goodrem,4:09
Battery , Metallica,5:16
Take A Giant Step,The Monkees,2:31
Wild Is The Wind,Amel Larrieux,2:57
The Surrender,Limp Bizkit,3:59
Happiness,The Fray,5:25
Home,Michael Bubl¨¦,9:02
Invisible,Taylor Swift,3:26
She,The Monkees,2:40
You Stole,Brand New,6:00
Orchids,Stone Sour,4:24
Gunpowder & Lead,Miranda Lambert,8:34
Be Still,Kari Jobe,3:25
Cuddly Toy,The Monkees,2:45
I Can See Clearly Now,Jimmy Cliff,3:20
The Forgotten,Green Day,5:01
The Ripper , Judas Priest,2:41
Pretty Fly (For A White Guy) , The Offspring,3:09
Philadelphia,NEIL YOUNG,4:06
La Isla Bonita,Madonna,4:07
Unchained Melody,Harry Belafonte,3:25
Luna,Bombay Bicycle Club,3:10
Bruises,Chairlift,4:01
9 Crimes,Damien Rice,3:39
I Am Falling Now,Maximilian Hecker,14:04
No Escape From The Blues,Muddy Waters,2:04
Pumped up Kicks (Album Version),Foster The People,3:59
Black & Blue,Chris Garneau,5:34
All Out Of Love,Air Supply,4:02
A Name In This Town,Josh Thompson,3:52
Seven Days In Sunny June,Jamiroquai,4:00
Good Girl Gone Bad,Rihanna,3:38
Rain Man,Eminem,5:20
The Show,Lenka,3:59
Ride The Lightning , Metallica,6:37
Silver Lining,Kacey Musgraves,3:50
The Way I Am,Eminem,4:53
Lovefool,The Cardigans,3:17
Cold Water,Damien Rice,5:01
Air Traffic,Owl City,3:02
Say Hey (I Love You),Michael Franti & Spearhead,3:56
Hope There'S Someone,Antony & The Johnsons,4:21
True Love,The Fabulous Thunderbirds,3:08
Not Going Anywhere,Keren Ann,3:39
Top Of The World,Carpenters,3:01
Around The World,Aqua,3:33
Every Little Thing,Good Lovelies,3:21
Love The Way You Lie,Eminem&Rihanna,11:42
What He Wrote,Laura Marling,4:09
One Love,Blue,3:29
Starfuckers Inc.,Nine Inch Nails,5:00
Daylight,Matt & Kim,2:51
Too Serious Too Soon,Gareth Gates,3:46
Three Courses And An Open Canoe,Tamas Wells,3:10
Sweet Sixteen,Hilary Duff,3:07
Get Lost,Patrick Wolf,3:17
I Could Be The One ( Lp Version ),Donna Lewis,3:50
The Way You Look Tonight,Maroon 5,3:29
Do Ya Thang,Rihanna,3:43
If I Ever Break Your Heart,The Notorious Cherry Bombs,3:24
Explorers,Sky Sailing,4:11
Astronaut,Just Jack,3:49
Should It Matter,Sissel,5:08
I Wonder (Departure),Abba,4:34
T H T,Sum 41,0:47
Paint It Black,Vanessa Carlton,3:35
Time To Carry On,Vince Gill,4:08
Sad News,Chris Garneau,6:04
Foundations,Kate Nash,3:38
My Baby,Britney Spears,3:22
(I'Ll Never Be) Your Maggie May,Suzanne Vega,3:46
Pretend We'Re Dead , L7,3:55
Shining Friends,·ëêØæ¥,1:49
Ashes And Wine,A Fine Frenzy,11:35
I'Ve Never Been To Me,Charlene,3:49
My Love,Lene Marlin,4:32
Sad Eyes,Bat For Lashes,4:19
You Belong To Me,Carla Bruni,3:05
Leper Messiah , Metallica,5:43
Pacific Coast Party,Smash Mouth,3:02
Space Bound,Eminem,12:23
93 Million Miles,Jason Mraz,3:38
England Made Me,Black Box Recorder,4:03
Life Is Wonderful,Jason Mraz,4:18
Relief,Chris Garneau,3:49
Breathe Again,Sara Bareilles,4:58
I Love Nyc,Andrew W.K.,3:11
The World As I See It,Jason Mraz,3:59
Keep Walking or I'll Kill You,Agnes Kain,3:36
Dope Hat , Marilyn Manson,4:21
Tonight Tonight,Hot Chelle Rae,3:20
Grafton Street,Dido,5:59
The World As I See It,Jason Mraz,3:59
Dreaming My Dreams With You,Alison Krauss,4:28
Two Doors Down,Mark Burchfield,2:58
The Unnamed Feeling , Metallica,7:09
Australia,The shins,3:42
Dannyboy,Youngblood Hawke,3:07
Best Day Of My Life,American Authors,8:37
Gravity,Sara Bareilles,3:53
It's a Beautiful Day,Michael Bubl¨¦,9:00
Fireflies,Owl City,3:50
I've Been In Love Before,Cutting Crew,5:08
Innocent,Taylor Swift,5:02
Mean,Taylor Swift,4:02
Dead And Gone , T.I.,5:04
Boston,Augustana,4:10
Everything Will Flow,Suede,4:30
Pencil Full Of Lead,Paolo Nutini,2:28
Boogie Street,Leonard Cohen,6:02
Chloe (You're The One I Want),Emblem3,9:52
In the summertime,Mungo jerry,3:36
Disguise,Lene Marlin,3:52
Walking The Dog,Fun.,3:40
Stationary Stationery , Anberlin,3:01
Leave The Light On,Priscilla Ahn,3:18
Lamb Of God,Marilyn Mans,12:26
Ridin',Chamillionaire&sway,4:32
Mad World,Gary jules,3:00
Better Off Dead,Anathema,4:23
That Year,Brandi Carlile,3:36
So Far,Chris Garneau,4:25
Out From Under,Britney Spears,3:56
Gold in the air of summer,Kings Of Convenience,3:34
Somebody,Blue October,3:23
Never Again , Kelly Clarkson,3:42
Another Time Around,Sum 41,6:56
All The Pretty Girls,Fun.,3:26
The Priest , Limp Bizkit,4:59
The Four Horsemen , Metallica,5:21
Give Me Life,Daniel Powter,3:38
Drama Love & 'Lationships,Babyface,3:58
A Thousand Years,Christina Perri,4:49
Angel Of Mine,Monica,4:11
Mr. Know It All , Kelly Clarkson,3:55
Swingset Chain,Loquat,4:47
Lullaby,The Cure,4:13
Captains And Cruise Ships,Owl City,4:06
Hey Scenesters!,The Cribs,3:16
Hurt , Adelitas Way,3:56
Dear Father,Sum 41,3:54
What Goes Around Comes Around,Justin Timberlake,4:31
What Makes You Beautiful,One Direction,3:22
Where Are You Now,Britney Spears,4:40
